"filename", "language", "XML", "Svelte", "TypeScript", "CSS", "JSON", "JavaScript", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/SmallCheck.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Sun.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextCenter.svelte", "Svelte", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextIcon.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextLeft.svelte", "Svelte", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TextRight.svelte", "Svelte", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TrashCan.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/TrashCanBig.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Undo.svelte", "Svelte", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/graphics/Unlock.svelte", "Svelte", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/lib/Counter.svelte", "Svelte", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/main.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/alertStore.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/brushStore.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/canvasStore.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 8, 56
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/drawingRoomStore.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 3, 16, 112
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/eventState.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/fetchDataStore.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 11, 94
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/paletteStore.ts", "TypeScript", 0, 0, 118, 0, 0, 0, 0, 0, 0, 1, 21, 140
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/redoStore.ts", "TypeScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 1, 19, 148
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/textBoxStore.ts", "TypeScript", 0, 0, 120, 0, 0, 0, 0, 0, 0, 1, 19, 140
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/undoStore.ts", "TypeScript", 0, 0, 272, 0, 0, 0, 0, 0, 0, 3, 24, 299
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/userPrefsStore.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 8
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/testing.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 1, 21
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/auth/auth_store.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/auth/firebase.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 5, 48
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/clearSelection.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/color/rgbStringToHex.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 4, 22
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/demoDrag.svelte", "Svelte", 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 13, 66
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/dragMultiple.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 9, 17, 81
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/drawBrushStroke.ts", "TypeScript", 0, 0, 203, 0, 0, 0, 0, 0, 0, 10, 40, 253
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/drawRectangle.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 6, 37
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/drawSelectBox.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 19, 124
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/getSvgPathFromStroke.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/handleCursor.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/initDrawingRoomSocket.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/types/app_types.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/types/undo_types.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/videoToCanvas.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 7, 13, 74
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/webRTCDataMessages.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 13, 78
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/webRTCNegotiate.ts", "TypeScript", 0, 0, 231, 0, 0, 0, 0, 0, 0, 10, 43, 284
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/websocketHub.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 18, 147
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/vite.config.ts.timestamp-1723150046245-0c46481991363.mjs", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 1, 11
"Total", "-", 2, 4914, 2165, 137, 2804, 33, 27, 14, 14, 198, 1024, 11332
