"filename", "language", "Svelte", "XML", "TypeScript", "CSS", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/brushStore.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/canvasStore.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/colorStore.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/eventState.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/fetchDataStore.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 85
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/paletteStore.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 16, 108
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/redoStore.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 18, 161
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/textBoxStore.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 1, 15, 120
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/undoStore.ts", "TypeScript", 0, 0, 229, 0, 0, 0, 0, 0, 0, 1, 22, 252
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/stores/userPrefsStore.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 8
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 14, 0, 0, 0, 0, 6, 1, 21
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/auth/auth_store.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/auth/firebase.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 5, 48
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/clearSelection.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/color/rgbStringToHex.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 4, 22
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/demoDrag.svelte", "Svelte", 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 66
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/dragMultiple.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 9, 17, 81
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/drawBrushStroke.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 11, 101
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/drawRectangle.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 6, 37
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/drawSelectBox.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 19, 124
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/getSvgPathFromStroke.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/handleCursor.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/types/app_types.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/utils/types/undo_types.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 3, 36
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/suzrubel/Documents/Workspace/svelte/paint-ts/vite.config.ts.timestamp-1723150046245-0c46481991363.mjs", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 1, 11
"Total", "-", 4910, 2, 1262, 126, 14, 73, 2796, 27, 14, 90, 827, 10141
